id,combo,category,name,fileName,planType,includeType,inferredPlan,inferredIncludeType,issues,combinations
"6953e96445fdb12e1e8f0c3f","egnyte-to-onedrive","content","Egnyte to OneDrive Standard Plan - Standard Not Include","Egnyte to OneDrive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""egnyte-to-onedrive"",""all""]"
"6953ea9f041938ef5d1e29a9","egnyte-to-google-sharedrive","content","Egnyte to Google Shared Drive Standard Plan - Standard Include","Egnyte to Google Shared Drive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""egnyte-to-google-sharedrive"",""all""]"
"6953ea9f041938ef5d1e29aa","egnyte-to-google-sharedrive","content","Egnyte to Google Shared Drive Standard Plan - Standard Not Include","Egnyte to Google Shared Drive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""egnyte-to-google-sharedrive"",""all""]"
"6953ebbdec22d46e0b0fb483","egnyte-to-google","content","Egnyte to Google MyDrive Standard Plan - Standard Include","Egnyte to Google MyDrive Standard Plan - Standard Include.docx","","","standard","included","missing_planType|missing_includeType","[""egnyte-to-google"",""all""]"
"6953ebbdec22d46e0b0fb484","egnyte-to-google","content","Egnyte to Google MyDrive Standard Plan - Standard Not Include","Egnyte to Google MyDrive Standard Plan - Standard Not Include.docx","","","standard","notincluded","missing_planType|missing_includeType","[""egnyte-to-google"",""all""]"
"6953ed7c568ee546e6cc41e2","egnyte-to-sharepoint-online","content","Egnyte to SharePoint Online Advanced Plan - Advanced Include","Egnyte to SharePoint Online Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""egnyte-to-sharepoint-online"",""all""]"
"695e5afaf6e5474b2c7a1221","egnyte-to-google-sharedrive","content","Egnyte to Google Shared Drive Advanced Plan - Advanced Include","Egnyte to Google Shared Drive Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""egnyte-to-google-sharedrive"",""all""]"
"695e5afaf6e5474b2c7a1222","egnyte-to-google-sharedrive","content","Egnyte to Google Shared Drive Advanced Plan - Advanced Not Include","Egnyte to Google Shared Drive Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""egnyte-to-google-sharedrive"",""all""]"
"695e5ecd7321cbc525f47e6b","egnyte-to-google","content","Egnyte to Google MyDrive Advanced Plan - Advanced Include","Egnyte to Google MyDrive Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""egnyte-to-google"",""all""]"
"695e5ecd7321cbc525f47e6c","egnyte-to-google","content","Egnyte to Google MyDrive Advanced Plan - Advanced Not Include","Egnyte to Google MyDrive Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""egnyte-to-google"",""all""]"
"695e60ff19abab4234dc96dd","sharefile-to-sharepoint","content","ShareFile to SharePoint Online Advanced Plan - Advanced Include","ShareFile to SharePoint Online Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""sharefile-to-sharepoint"",""all""]"
"695e60ff19abab4234dc96de","sharefile-to-sharepoint","content","ShareFile to SharePoint Online Advanced Plan - Advanced Not Include","ShareFile to SharePoint Online Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""sharefile-to-sharepoint"",""all""]"
"695e627fd989101704f5c34b","sharefile-to-sharefile","content","ShareFile to ShareFile Advanced Plan - Advanced Include","ShareFile to ShareFile Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""sharefile-to-sharefile"",""all""]"
"695e627fd989101704f5c34c","sharefile-to-sharefile","content","ShareFile to ShareFile Advanced Plan - Advanced Not Include","ShareFile to ShareFile Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""sharefile-to-sharefile"",""all""]"
"695e6401bdd5ea56437abae6","sharefile-to-onedrive","content","ShareFile to OneDrive Advanced Plan - Advanced Include","ShareFile to OneDrive Advanced Plan - Advanced Include.docx","","","advanced","included","missing_planType|missing_includeType","[""sharefile-to-onedrive"",""all""]"
"695e6401bdd5ea56437abae7","sharefile-to-onedrive","content","ShareFile to OneDrive Advanced Plan - Advanced Not Include","ShareFile to OneDrive Advanced Plan - Advanced Not Include.docx","","","advanced","notincluded","missing_planType|missing_includeType","[""sharefile-to-onedrive"",""all""]"
"695e661ea4cccb2f54de6606","sharefile-to-google-mydrive","content","ShareFile to Google MyDrive Advanced Plan - Advanced Included","ShareFile to Google MyDrive Advanced Plan - Advanced Included.docx","","","advanced","included","missing_planType|missing_includeType","[""sharefile-to-google-mydrive"",""all""]"
